seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NODE_63_length_1212_cov_67.400000	1	2	42	1204	1.0	1.0	1	2	42	1204	NA	NA	0	1	2	42	1204	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_63_length_1212_cov_67.400000||full	1.0	ssDNA
NODE_61_length_2108_cov_44.172821	1	3	57	2106	0.987	0.987	1	3	57	2106	NA	NA	0	1	3	57	2106	0.987	0.0	0.0	0.0	100.0	0.0	0.0	1	dsDNAphage	linear	NODE_61_length_2108_cov_44.172821||full	0.987	dsDNAphage
NODE_59_length_2673_cov_35.786210	1	3	2	2672	1.0	1.0	1	3	2	2672	NA	NA	0	1	3	2	2672	1.0	0.0	0.0	0.0	100.0	0.0	0.0	2	dsDNAphage	linear	NODE_59_length_2673_cov_35.786210||full	1.0	dsDNAphage
NODE_57_length_3564_cov_53.943218	1	7	2	3562	0.92	0.92	1	7	2	3562	NA	NA	0	1	7	2	3562	0.92	0.0	14.3	0.0	28.6	14.3	42.9	1	dsDNAphage	linear	NODE_57_length_3564_cov_53.943218||full	0.92	dsDNAphage
NODE_40_length_37589_cov_267.463238	1	51	270	37072	0.993	1.0	1	51	270	37072	NA	NA	0	1	51	270	37072	0.993	0.0	2.0	0.0	74.5	2.0	21.6	16	dsDNAphage	linear	NODE_40_length_37589_cov_267.463238||full	0.993	dsDNAphage
NODE_23_length_111273_cov_20.020351	1	106	632	111201	0.827	0.853	1	106	632	111201	NA	NA	0	1	106	632	111201	0.827	0.0	32.1	0.0	28.3	22.6	17.0	7	dsDNAphage	linear	NODE_23_length_111273_cov_20.020351||full	0.827	dsDNAphage
NODE_4_length_466576_cov_20.415053	357	453	391208	461768	0.9	0.933	357	453	391208	461768	0.9	1.0	1	1	457	88	466473	0.48	0.0	24.8	0.0	27.7	14.9	32.7	11	dsDNAphage	linear	NODE_4_length_466576_cov_20.415053||0_partial	0.9	dsDNAphage
NODE_38_length_45880_cov_21.570574	34	50	34663	45878	0.973	0.973	34	50	34663	45878	0.973	1.0	1	1	50	101	45878	0.52	0.0	17.6	0.0	29.4	5.9	47.1	4	dsDNAphage	linear	NODE_38_length_45880_cov_21.570574||0_partial	0.973	dsDNAphage
NODE_2_length_561798_cov_21.101096	240	424	278936	435524	0.9	0.913	240	424	278936	435524	0.9	1.0	1	1	553	268	561662	0.547	0.0	16.2	0.5	42.6	11.2	29.4	27	dsDNAphage	linear	NODE_2_length_561798_cov_21.101096||0_partial	0.9	dsDNAphage
NODE_2_length_561798_cov_21.101096	426	470	436785	470672	0.933	0.973	425	470	435648	470672	0.9	0.993	1	1	553	268	561662	0.547	0.0	29.3	1.7	27.6	13.8	27.6	1	dsDNAphage	linear	NODE_2_length_561798_cov_21.101096||1_partial	0.933	dsDNAphage
NODE_21_length_122661_cov_21.838445	1	30	3	23418	0.893	0.94	1	30	3	23418	0.893	0.987	1	1	123	3	122546	0.307	0.0	23.8	0.0	26.2	16.7	33.3	2	dsDNAphage	linear	NODE_21_length_122661_cov_21.838445||0_partial	0.893	dsDNAphage
NODE_18_length_136058_cov_21.377060	80	114	75863	103171	0.9	0.92	80	114	75863	103171	0.9	1.0	1	1	141	549	136058	0.24	0.0	38.3	0.0	21.3	8.5	31.9	1	dsDNAphage	linear	NODE_18_length_136058_cov_21.377060||0_partial	0.9	dsDNAphage
NODE_17_length_136195_cov_38.509536	38	51	28152	38850	0.927	0.927	38	51	28152	38850	0.927	0.927	1	1	148	1	136090	0.487	0.0	53.8	0.0	11.5	0.0	34.6	1	dsDNAphage	linear	NODE_17_length_136195_cov_38.509536||0_partial	0.927	dsDNAphage
NODE_14_length_142455_cov_21.088616	66	109	69633	108235	0.887	0.933	66	109	69633	108235	0.887	0.967	1	1	140	101	142307	0.46	0.0	37.5	0.0	28.6	21.4	12.5	10	dsDNAphage	linear	NODE_14_length_142455_cov_21.088616||0_partial	0.887	dsDNAphage
