seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NODE_68_length_1045_cov_61.914256	1	2	9	1045	0.98	0.98	1	2	9	1045	NA	NA	0	1	2	9	1045	0.98	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NODE_68_length_1045_cov_61.914256||full	0.98	ssDNA
NODE_62_length_2108_cov_35.805515	1	3	57	2106	0.987	0.987	1	3	57	2106	NA	NA	0	1	3	57	2106	0.987	0.0	0.0	0.0	100.0	0.0	0.0	1	dsDNAphage	linear	NODE_62_length_2108_cov_35.805515||full	0.987	dsDNAphage
NODE_59_length_3564_cov_46.288213	1	7	3	3563	0.92	0.92	1	7	3	3563	NA	NA	0	1	7	3	3563	0.92	0.0	14.3	0.0	28.6	14.3	42.9	1	dsDNAphage	linear	NODE_59_length_3564_cov_46.288213||full	0.92	dsDNAphage
NODE_41_length_37566_cov_168.671157	1	51	495	37297	0.993	1.0	1	51	495	37297	NA	NA	0	1	51	495	37297	0.993	0.0	2.0	0.0	74.5	2.0	21.6	16	dsDNAphage	linear	NODE_41_length_37566_cov_168.671157||full	0.993	dsDNAphage
NODE_20_length_111515_cov_17.782695	1	107	120	110884	0.833	0.867	1	107	120	110884	NA	NA	0	1	107	120	110884	0.833	0.0	31.8	0.0	28.0	22.4	17.8	7	dsDNAphage	linear	NODE_20_length_111515_cov_17.782695||full	0.833	dsDNAphage
NODE_6_length_328152_cov_18.623047	231	273	256608	293813	0.9	0.933	231	273	256608	293813	0.9	0.98	1	1	304	3	328004	0.333	0.0	38.2	0.0	29.1	20.0	12.7	10	dsDNAphage	linear	NODE_6_length_328152_cov_18.623047||0_partial	0.9	dsDNAphage
NODE_5_length_367743_cov_18.239935	42	127	32697	107956	0.907	0.953	42	130	32697	110607	0.9	1.0	1	1	349	1	367742	0.487	0.0	32.7	0.0	28.7	9.9	28.7	11	dsDNAphage	linear	NODE_5_length_367743_cov_18.239935||0_partial	0.907	dsDNAphage
NODE_29_length_74755_cov_18.753301	1	16	3	12479	0.973	0.973	1	16	3	12479	0.973	0.98	1	1	79	3	74449	0.347	0.0	21.4	0.0	10.7	28.6	39.3	2	dsDNAphage	linear	NODE_29_length_74755_cov_18.753301||0_partial	0.973	dsDNAphage
NODE_1_length_561412_cov_19.190754	240	424	278908	435496	0.9	0.913	240	424	278908	435496	0.9	1.0	1	1	553	182	561286	0.547	0.0	16.2	0.5	42.6	11.2	29.4	27	dsDNAphage	linear	NODE_1_length_561412_cov_19.190754||0_partial	0.9	dsDNAphage
NODE_1_length_561412_cov_19.190754	426	470	436757	470644	0.933	0.973	425	470	435620	470644	0.9	0.993	1	1	553	182	561286	0.547	0.0	29.3	1.7	27.6	13.8	27.6	1	dsDNAphage	linear	NODE_1_length_561412_cov_19.190754||1_partial	0.933	dsDNAphage
NODE_18_length_127803_cov_19.369972	1	38	3	29218	0.893	0.92	1	38	3	29218	0.893	0.98	1	1	129	3	127688	0.413	0.0	28.0	0.0	28.0	16.0	28.0	4	dsDNAphage	linear	NODE_18_length_127803_cov_19.369972||0_partial	0.893	dsDNAphage
NODE_17_length_129541_cov_18.878267	73	109	67521	96395	0.907	0.947	73	109	67521	96395	0.907	1.0	1	1	136	2	129540	0.273	0.0	36.7	0.0	22.4	8.2	32.7	1	dsDNAphage	linear	NODE_17_length_129541_cov_18.878267||0_partial	0.907	dsDNAphage
