sample	k	n0	r	t_gen
628C	6.51609083348861	0.0194402786601606	1.09496152673229	5.70111965147005
629A2A	6.47575632022295	0.0523357293854192	1.11754152680143	5.58605736870459
630A	6.15391260635344	0.205264132261121	0.77558630810229	3.57568270168978
631B	6.38870644188997	0.121590254592099	0.932969097021751	6.83294838241125
632B	7.41057177955569	0.110094556460909	1.21781730313605	5.18240773621422
633A	10.2778504661448	0.159450726441384	1.25694033646026	5.08180845163284
638A1	14.5633354581395	0.399178379316373	1.3662186540401	4.61860116093661
643E	13.5327563261152	0.0301395725803323	1.40684679519169	4.44148842698926
649D1	13.4838283277033	0.0944315727851299	1.36566781505611	4.6711356328909
CP10A	5.67956374441875	0.0555486068256168	0.36019364956395	1.92437368454183
CP12E	6.71698366520621	0.140325986909677	0.728897910509682	3.80552261294408
CP13A	6.91048199747439	0.0148897642898081	1.78730063300625	1.67195868295744
CP15C	6.04644621112654	0.0564833326150908	0.844962850753572	3.28205439034166
CP17D	5.46029025901766	0.0617151703762428	0.803060932256719	3.49089847971585
CP19F2	50.210486998316	0.381004190649173	0.624462221289787	11.0534732913872
CP20G1	6.00099362691525	0.0912570494002495	0.882688408115103	3.14341296950713
CP2A	5.58158027686096	0.0183186128377864	0.785993647237435	3.5277439917201
CP3F2	6.30545854256786	0.108345582658969	0.725458975064992	3.83188513884031
CP5A	6.82055778245491	0.0711519483399562	0.699942829515422	3.96159627261972
CP6A	7.47601686743063	0.0068134469015361	2.04596025487705	3.66961835606963
CP8C	6.14939064204073	0.168992636712328	0.69409784500431	3.99536833499294
