Level3	no_strong	no_weak	total	not_strong	not_weak	p_value	lor	p_value_corrected
ABC transporters	2871	2088	4959	783	783	4.65E-08	1.45464292	3.41E-06
Bacterial motility proteins	1298	944	2242	354	354	0.000261601	1.527466366	0.008516557
Bacterial secretion system	1012	736	1748	276	276	0.001173068	1.091081044	0.024550632
Biofilm formation- Pseudomonas aeruginosa	968	704	1672	264	264	0.001534004	0.734665909	0.028091451
Chromosome and associated proteins	1056	768	1824	288	288	0.001050821	0.83649059	0.023683891
DNA repair and recombination proteins	1243	904	2147	339	339	0.000324393	0.647357918	0.009504713
Enzymes with EC numbers	1551	1128	2679	423	423	5.97E-05	1.461977504	0.002185986
Function unknown	1870	1360	3230	510	510	1.01E-05	1.309213195	0.000492735
Purine metabolism	946	688	1634	258	258	0.001901238	0.829229689	0.032768393
Quorum sensing	1144	832	1976	312	312	0.000613669	0.647364301	0.014983741
Ribosome	1166	848	2014	318	318	0.000497023	0.691005224	0.013238877
Secretion system	2343	1704	4047	639	639	8.78E-07	1.527392044	5.14E-05
Transcription factors	1815	1320	3135	495	495	1.45E-05	0.073461576	0.00060633
Transporters	7854	5712	13566	2142	2142	1.47E-19	0.596384934	2.16E-17
tRNA biogenesis	968	704	1672	264	264	0.001534004	0.800131188	0.028091451
Two-component system	3916	2848	6764	1068	1068	1.76E-10	1.476443131	1.72E-08
NA	47080	34240	81320	12840	12840	7.66E-109	2.189136201	2.25E-106
